ticker,annouced,div_total,div_per_share
63,NaN,0,0
63,NaN,NaN,0
63,NaN,NaN,0
63,19980613,2675,0.107
63,19980915,0,0
63,19990612,5183.75,0.1595
63,20000606,0,0
63,20011010,3707.2,0.08
63,20020516,6672.96,0.12
63,20030516,8897.28,0.16
63,20040519,13345.92,0.2
63,20050704,21589.23713,0.225
63,20060707,21589.23713,0.225
63,20070720,12953.54228,0.135
63,20080704,21589.23713,0.225
63,20090527,36269.91837,0.27
63,20100618,51601.17031,0.27
63,20110701,75716.76145,0.27
63,20120711,61757.13829,0.18
63,20140717,9796.992642,0.0285
63,20150711,65313.28428,0.19
63,20160709,103856.5589,0.25
63,20200805,92268.69796,0.2
65,NaN,NaN,0
65,NaN,0,0
65,NaN,NaN,0
65,19990419,8,0.0016
